,MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,Exterior1st,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtUnfSF,Heating,HeatingQC,CentralAir,Electrical,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageCond,PavedDrive,WoodDeckSF,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,TotalSF,PorchSF
648,60.0,RL,70.0,7700.0,Reg,Lvl,Inside,Gtl,NAmes,PosN,Norm,1Fam,2Story,6.0,5.0,1966.0,1966.0,MetalSd,BrkFace,351.0,TA,TA,CBlock,TA,TA,No,Unf,756.0,GasA,TA,Y,SBrkr,0.0,1839.0,0.0,0.0,1.0,1.0,4.0,1.0,TA,7.0,Typ,1.0,TA,Attchd,1966.0,Unf,2.0,442.0,TA,Y,0.0,NA,NA,0.0,6.0,2010.0,WD,Normal,2595.0,340.0
1027,20.0,RL,71.0,9520.0,IR1,HLS,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,8.0,5.0,2007.0,2008.0,VinylSd,Stone,338.0,Gd,TA,PConc,Gd,TA,Gd,GLQ,125.0,GasA,Ex,Y,SBrkr,0.0,1646.0,1.0,0.0,2.0,0.0,3.0,1.0,Gd,7.0,Typ,1.0,Gd,Attchd,2008.0,RFn,3.0,800.0,TA,Y,192.0,NA,NA,0.0,4.0,2008.0,New,Partial,3284.0,44.0
1430,60.0,RL,60.0,21930.0,IR3,Lvl,Inside,Gtl,Gilbert,RRAn,Norm,1Fam,2Story,5.0,5.0,2005.0,2005.0,VinylSd,None,0.0,Gd,TA,PConc,Gd,Gd,Av,Unf,732.0,GasA,Ex,Y,SBrkr,0.0,1838.0,0.0,0.0,2.0,1.0,4.0,1.0,TA,7.0,Typ,1.0,Gd,BuiltIn,2005.0,Fin,2.0,372.0,TA,Y,100.0,NA,NA,0.0,7.0,2006.0,WD,Normal,2570.0,40.0
297,60.0,FV,66.0,7399.0,IR1,Lvl,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7.0,5.0,1997.0,1998.0,VinylSd,BrkFace,1600.0,Gd,TA,PConc,Gd,TA,No,BLQ,326.0,GasA,Ex,Y,SBrkr,0.0,1950.0,0.0,0.0,2.0,1.0,3.0,1.0,Gd,7.0,Typ,1.0,TA,Detchd,1997.0,RFn,2.0,576.0,TA,Y,0.0,NA,NA,0.0,6.0,2007.0,WD,Normal,2925.0,208.0
292,50.0,RL,60.0,11409.0,Reg,Lvl,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,5.0,4.0,1949.0,2008.0,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,LwQ,476.0,GasA,Gd,Y,SBrkr,0.0,1716.0,0.0,0.0,1.0,1.0,3.0,1.0,TA,8.0,Min2,1.0,Gd,Attchd,1949.0,Unf,1.0,281.0,TA,Y,0.0,NA,NA,0.0,1.0,2009.0,WD,Normal,2484.0,160.0
1324,20.0,RL,75.0,9986.0,Reg,Lvl,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8.0,5.0,2006.0,2007.0,VinylSd,BrkFace,428.0,Gd,TA,PConc,Ex,TA,Av,Unf,1795.0,GasA,Ex,Y,SBrkr,0.0,1795.0,0.0,0.0,2.0,0.0,2.0,1.0,Gd,7.0,Typ,1.0,Gd,Attchd,2007.0,RFn,3.0,895.0,TA,Y,0.0,NA,NA,0.0,2.0,2007.0,New,Partial,3590.0,49.0
1383,30.0,RL,70.0,25339.0,Reg,Lvl,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5.0,7.0,1918.0,2007.0,Wd Sdng,None,0.0,TA,Gd,BrkTil,TA,TA,No,Unf,816.0,GasA,Ex,Y,SBrkr,0.0,1416.0,0.0,0.0,2.0,0.0,3.0,1.0,Gd,7.0,Typ,0.0,NA,Attchd,2007.0,Unf,2.0,576.0,TA,N,0.0,NA,NA,0.0,8.0,2007.0,WD,Normal,2232.0,112.0
1312,60.0,RL,70.0,9572.0,IR1,Lvl,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8.0,5.0,1990.0,1990.0,Wd Sdng,BrkFace,336.0,Gd,TA,PConc,Ex,TA,No,GLQ,971.0,GasA,Ex,Y,SBrkr,0.0,2810.0,0.0,0.0,2.0,1.0,4.0,1.0,Gd,9.0,Typ,1.0,Ex,Attchd,1990.0,RFn,2.0,750.0,Gd,Y,500.0,NA,NA,0.0,6.0,2007.0,WD,Normal,4263.0,0.0
837,160.0,RM,21.0,1680.0,Reg,Lvl,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6.0,5.0,1973.0,1973.0,HdBoard,BrkFace,158.0,TA,TA,CBlock,TA,TA,No,BLQ,153.0,GasA,TA,Y,SBrkr,0.0,987.0,1.0,0.0,1.0,1.0,2.0,1.0,TA,5.0,Typ,0.0,NA,Detchd,1973.0,Unf,1.0,264.0,TA,Y,0.0,NA,NA,0.0,11.0,2008.0,WD,Normal,1470.0,0.0
273,20.0,RL,80.0,9600.0,Reg,Lvl,Inside,Gtl,NAmes,Feedr,Norm,1Fam,1Story,6.0,6.0,1958.0,1988.0,Wd Sdng,BrkCmn,183.0,TA,TA,CBlock,TA,TA,No,Rec,0.0,GasA,Gd,Y,SBrkr,0.0,1632.0,1.0,0.0,2.0,0.0,3.0,1.0,TA,6.0,Min1,1.0,Gd,Attchd,1958.0,RFn,1.0,338.0,TA,Y,289.0,MnPrv,NA,0.0,4.0,2009.0,WD,Normal,2872.0,0.0
336,20.0,RL,86.0,14157.0,IR1,HLS,Corner,Gtl,StoneBr,Norm,Norm,1Fam,1Story,9.0,5.0,2005.0,2006.0,VinylSd,Stone,200.0,Gd,TA,PConc,Ex,TA,Gd,GLQ,673.0,GasA,Ex,Y,SBrkr,0.0,1922.0,1.0,0.0,2.0,0.0,3.0,1.0,Gd,8.0,Typ,1.0,Gd,Attchd,2005.0,Fin,3.0,676.0,TA,Y,178.0,NA,NA,0.0,7.0,2007.0,WD,Normal,3844.0,51.0
358,80.0,RL,92.0,6930.0,IR1,Lvl,Inside,Gtl,ClearCr,Norm,Norm,1Fam,SLvl,5.0,4.0,1958.0,1958.0,Wd Sdng,BrkFace,120.0,TA,TA,CBlock,TA,TA,Av,BLQ,468.0,GasA,Ex,Y,FuseF,0.0,1352.0,0.0,1.0,1.0,0.0,3.0,1.0,Gd,6.0,Min2,0.0,NA,BuiltIn,1958.0,Unf,1.0,288.0,TA,Y,168.0,NA,NA,0.0,7.0,2006.0,WD,Abnorml,2414.0,294.0
784,75.0,RM,35.0,6300.0,Reg,Lvl,Inside,Gtl,OldTown,Norm,Norm,1Fam,2.5Unf,6.0,6.0,1914.0,2001.0,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,Unf,742.0,GasA,Ex,Y,SBrkr,0.0,1484.0,0.0,0.0,2.0,0.0,3.0,1.0,TA,9.0,Typ,1.0,Gd,NA,1979.0,NA,0.0,0.0,NA,Y,0.0,NA,NA,0.0,6.0,2008.0,WD,Normal,2226.0,425.0
60,20.0,RL,63.0,13072.0,Reg,Lvl,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,6.0,5.0,2004.0,2004.0,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,ALQ,217.0,GasA,Ex,Y,SBrkr,0.0,1158.0,1.0,0.0,1.0,1.0,3.0,1.0,Gd,5.0,Typ,0.0,NA,Detchd,2006.0,Unf,2.0,576.0,TA,Y,0.0,NA,NA,0.0,5.0,2006.0,New,Partial,2316.0,50.0
416,60.0,RL,74.0,7844.0,Reg,Lvl,Inside,Gtl,Sawyer,Norm,Norm,1Fam,2Story,6.0,7.0,1978.0,1978.0,HdBoard,BrkFace,203.0,TA,TA,CBlock,TA,TA,No,ALQ,463.0,GasA,TA,Y,SBrkr,0.0,1400.0,0.0,0.0,1.0,1.0,3.0,1.0,TA,6.0,Typ,1.0,TA,Attchd,1978.0,Fin,2.0,440.0,TA,Y,0.0,NA,NA,0.0,3.0,2006.0,WD,Normal,2072.0,0.0
1115,20.0,RL,93.0,12085.0,Reg,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8.0,5.0,2007.0,2007.0,VinylSd,Stone,328.0,Gd,TA,PConc,Ex,TA,No,GLQ,730.0,GasA,Ex,Y,SBrkr,0.0,1734.0,1.0,0.0,2.0,0.0,3.0,1.0,Ex,7.0,Typ,1.0,Gd,Attchd,2007.0,RFn,3.0,928.0,TA,Y,0.0,NA,NA,0.0,11.0,2007.0,New,Partial,3468.0,0.0
1377,50.0,RL,60.0,10998.0,Reg,Lvl,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,5.0,5.0,1941.0,1960.0,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,LwQ,156.0,GasA,Ex,Y,SBrkr,0.0,1604.0,0.0,0.0,2.0,0.0,3.0,1.0,TA,6.0,Min2,0.0,NA,Detchd,1977.0,Unf,2.0,660.0,TA,Y,0.0,NA,NA,0.0,7.0,2009.0,WD,Normal,2588.0,68.0
887,50.0,RL,59.0,16466.0,IR1,Lvl,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,5.0,7.0,1955.0,1955.0,MetalSd,None,0.0,TA,Gd,PConc,TA,TA,No,Unf,816.0,GasA,TA,Y,SBrkr,0.0,1393.0,0.0,0.0,1.0,1.0,3.0,1.0,TA,8.0,Typ,0.0,NA,Attchd,1955.0,Unf,1.0,300.0,TA,Y,121.0,NA,NA,0.0,4.0,2008.0,WD,Normal,2209.0,265.0
1292,70.0,RM,60.0,6600.0,Reg,Lvl,Corner,Gtl,OldTown,Norm,Norm,1Fam,2Story,5.0,4.0,1892.0,1965.0,Wd Sdng,None,0.0,TA,TA,Stone,TA,TA,No,Unf,994.0,GasA,TA,N,SBrkr,0.0,2372.0,0.0,0.0,2.0,0.0,4.0,2.0,TA,11.0,Min2,0.0,NA,Attchd,1985.0,RFn,1.0,432.0,TA,Y,0.0,NA,NA,0.0,12.0,2009.0,WD,Normal,3366.0,287.0
934,20.0,RL,313.0,27650.0,IR2,HLS,Inside,Mod,NAmes,PosA,Norm,1Fam,1Story,7.0,7.0,1960.0,2007.0,Wd Sdng,None,0.0,TA,TA,CBlock,Gd,TA,Gd,GLQ,160.0,GasA,Ex,Y,SBrkr,0.0,2069.0,1.0,0.0,2.0,0.0,4.0,1.0,Gd,9.0,Typ,1.0,Gd,Attchd,1960.0,RFn,2.0,505.0,TA,Y,0.0,NA,NA,0.0,11.0,2008.0,WD,Normal,2654.0,0.0
990,60.0,RL,82.0,9452.0,Reg,Lvl,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8.0,5.0,1997.0,1998.0,VinylSd,BrkFace,423.0,Gd,TA,PConc,Gd,TA,No,GLQ,322.0,GasA,Ex,Y,SBrkr,0.0,2392.0,1.0,0.0,2.0,1.0,3.0,1.0,Gd,7.0,Typ,1.0,TA,Attchd,1997.0,Fin,3.0,870.0,TA,Y,0.0,NA,NA,0.0,6.0,2006.0,WD,Normal,3788.0,70.0
